date,D,DAL,KEY,LNC,LNT,PEP,PG,SPY,XEL
2020-07-06,0,0,0,0,0,0,0,0,0
2020-07-07,67,100,-1,100,0,0,0,-43,10
2020-07-08,-12,-100,1,1,0,51,0,0,-14
2020-07-09,-57,0,2,-100,5,-51,0,23,100
2020-07-10,0,0,-4,-1,-5,0,0,1,0
2020-07-13,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,4,0,0,1,0,19,-100
2020-07-15,0,0,0,0,0,0,0,0,0
2020-07-16,0,0,11,0,0,-1,0,0,0
2020-07-17,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,-15,1,0,0,0,0,2
2020-07-21,0,0,0,0,0,1,0,0,-2
2020-07-22,0,0,9,-1,0,56,0,-43,100
2020-07-23,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,2,0,1,-57,0,3,100
2020-07-28,0,1,0,0,1,0,0,10,-50
2020-07-29,0,0,1,6,-2,0,0,20,-100
2020-07-30,0,0,1,-6,0,0,0,0,3
2020-07-31,0,0,-13,2,0,0,0,11,-53
2020-08-03,0,-1,4,-2,0,0,0,0,1
2020-08-04,1,0,-4,1,0,0,0,0,-1
2020-08-05,0,0,0,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,0,0,0
2020-08-07,-1,2,1,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0
2020-08-11,0,-2,7,-1,0,12,100,-44,0
2020-08-12,0,0,0,0,0,0,0,0,0
2020-08-13,0,100,100,0,0,-12,-100,0,100
2020-08-14,0,5,-21,0,0,0,0,25,-66
2020-08-17,0,3,0,0,0,80,0,-25,-34
2020-08-18,0,2,-31,0,0,-59,0,24,0
2020-08-19,0,0,-11,0,0,1,0,0,0
2020-08-20,0,0,6,0,0,-22,1,8,0
2020-08-21,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,-51,1,0,0,-1,0,10
2020-08-25,0,0,61,-1,0,0,0,0,-10
2020-08-26,0,-100,2,18,0,0,100,-32,0
2020-08-27,0,0,0,0,0,0,0,0,0
2020-08-28,0,-10,1,9,0,0,0,0,0
2020-08-31,100,11,100,-27,0,0,-59,0,0
2020-09-01,0,0,1,0,0,0,0,0,0
2020-09-02,0,0,-100,0,0,0,-36,0,89
2020-09-03,0,0,20,0,0,0,-5,7,-29
2020-09-04,0,-11,0,8,0,0,0,12,-60
2020-09-08,0,0,1,-8,0,0,0,0,4
2020-09-09,0,0,0,0,0,0,0,0,0
2020-09-10,-6,100,5,0,0,28,0,-19,-4
2020-09-11,-94,100,-91,100,53,-28,0,0,0
2020-09-14,0,0,17,-100,-53,0,0,25,0
2020-09-15,0,0,-17,0,0,0,0,0,3
2020-09-16,0,2,0,0,0,1,0,0,-3
2020-09-17,0,0,0,0,0,-1,0,0,2
2020-09-18,0,0,0,0,0,0,0,0,0
2020-09-21,0,18,100,0,0,0,0,-25,100
2020-09-22,0,0,-21,1,0,0,0,0,3
2020-09-23,0,100,100,-1,0,18,0,0,-100
2020-09-24,0,0,-31,0,0,0,0,2,-5
2020-09-25,0,2,-10,0,0,0,0,0,1
2020-09-28,0,0,-100,0,0,0,0,0,17
2020-09-29,0,0,0,0,0,9,0,0,-18
2020-09-30,0,78,100,0,0,-27,0,0,0
